 benefit_coverage	 is there a separate deductible for mental health benefits 	 Intent: 	Utterence: 
 deductible_oop_inquiry	 amount of my out of network out of pocket maximum 		
 deductible_oop_inquiry	 are copays included in out of pocket max 		
 deductible_oop_inquiry	 can what i spend on copays count toward meeting my yearly max 		
 deductible_oop_inquiry	 can what i spend on copays count toward my out of pocket maximum 		
 deductible_oop_inquiry	 can you tell me how much my non network out of pocket maximum is 		
 deductible_oop_inquiry	 comparison of in network vs out of network for out of pocket max 		
 deductible_oop_inquiry	 copay count toward out of pocket maximum 		
 deductible_oop_inquiry	 definition of out of pocket maximum 		
 deductible_oop_inquiry	 do i get money spent over my out of pocket maximum refunded to me 		
 deductible_oop_inquiry	 do in network charges still count towards my oopm 		
 deductible_oop_inquiry	 do my copays count towards the plan out of pocket maximum 		
 deductible_oop_inquiry	 do you know my in network out of pocket max 		
 deductible_oop_inquiry	 do you know what my in network out of pocket max is 		
 deductible_oop_inquiry	 does my coinsurance count toward my out of pocket maximum 		
 deductible_oop_inquiry	 does my copay accumulate to meeting my out of pocket maximum oopm 		
 deductible_oop_inquiry	 does my copay count toward my oopm 		
 deductible_oop_inquiry	 does my family have to meet the out of pocket maximum if i have met mine to be covered 		
 deductible_oop_inquiry	 does my pharmacy copay count towards the plan max 		
 deductible_oop_inquiry	 does my plan have an out of pocket maximum 		
 deductible_oop_inquiry	 does the family out of pocket maximum have to be reached before individual is covered 		
 deductible_oop_inquiry	 does the plan every pay 100 percent 		
 deductible_oop_inquiry	 have i met my out of pocket 		
 deductible_oop_inquiry	 how do i know how much i have spent out of pocket 		
 deductible_oop_inquiry	 how do i meet my yearly maximum 		
 deductible_oop_inquiry	 how does the in network out of pocket maximum compare to out of network 		
 deductible_oop_inquiry	 how much could i possibly have to pay in one year 		
 deductible_oop_inquiry	 how much is in network out of pocket maximum compared to out of network 		
 deductible_oop_inquiry	 how much is my in network yearly limit 		
 deductible_oop_inquiry	 how much is my individual annual limit 		
 deductible_oop_inquiry	 how much is my non network out of pocket max 		
 deductible_oop_inquiry	 how much is my out of network out of pocket max 		
 deductible_oop_inquiry	 how much is my out of network out of pocket maximum 		
 deductible_oop_inquiry	 how much is my out of pocket maximum 		
 deductible_oop_inquiry	 how much is the annual amount i have to pay 		
 deductible_oop_inquiry	 how much is the max in network out of pocket maximum 		
 deductible_oop_inquiry	 how much of my max have i used this year so far 		
 deductible_oop_inquiry	 how much of my out of pocket have i met 		
 deductible_oop_inquiry	 i am trying to figure out if the yearly limit is the same if i use providers who are not in the plan network 		
 deductible_oop_inquiry	 i do not get it is the out of pocket maximum by individual or family 		
 deductible_oop_inquiry	 i have a family plan is the max out of pocket per individual or per family 		
 deductible_oop_inquiry	 if i go non network what is my out of pocket max 		
 deductible_oop_inquiry	 if i stay in network what is my annual limit 		
 deductible_oop_inquiry	 if my service was in network does it count towards my oop max 		
 deductible_oop_inquiry	 in network out of pocket maximum 		
 deductible_oop_inquiry	 information on out of pocket maximum coverage 		
 deductible_oop_inquiry	 is my coinsurance included in my out of pocket max 		
 deductible_oop_inquiry	 is my deductible amount the most i will have to pay in the year 		
 deductible_oop_inquiry	 is the out of pocket max by family or individual 		
 deductible_oop_inquiry	 is the out of pocket maximum by individual or do we have to keep paying until both my husband and i reach the maximum 		
 deductible_oop_inquiry	 is there a separate non network out of pocket maximum 		
 deductible_oop_inquiry	 is there a separate out of pocket maximum for in and out of network 		
 deductible_oop_inquiry	 most i can pay out of pocket a year on plan 		
 deductible_oop_inquiry	 most i will have to pay out of pocket 		
 deductible_oop_inquiry	 on my plan what is my out of network out of pocket maximum 		
 deductible_oop_inquiry	 out of network out of pocket maximum 		
 deductible_oop_inquiry	 out of pocket maximum what is it 		
 deductible_oop_inquiry	 please tell me what the max is we have to pay per person for per family unit 		
 deductible_oop_inquiry	 the most i will pay per person out of pocket 		
 deductible_oop_inquiry	 what bills count toward my annual max 		
 deductible_oop_inquiry	 what counts toward my out of pocket max 		
 deductible_oop_inquiry	 what counts toward my out of pocket maximum 		
 deductible_oop_inquiry	 what do i need to spend to reach my out of pocket max 		
 deductible_oop_inquiry	 what does the out of pocket maximum include 		
 deductible_oop_inquiry	 what expenses counts towards my out of pocket maximum 		
 deductible_oop_inquiry	 what is highest possible non network out of pocket cost 		
 deductible_oop_inquiry	 what is in included in maximum out of pocket expenses 		
 deductible_oop_inquiry	 what is maximum out of pocket expense 		
 deductible_oop_inquiry	 what is my annual maximum 		
 deductible_oop_inquiry	 what is my in network out of pocket maximum 		
 deductible_oop_inquiry	 what is my in network vs out of network out of pocket maximum 		
 deductible_oop_inquiry	 what is my individual oop 		
 deductible_oop_inquiry	 what is my max out of pocket 		
 deductible_oop_inquiry	 what is my maximum out of pocket 		
 deductible_oop_inquiry	 what is my non network out of pocket max 		
 deductible_oop_inquiry	 what is my oop max 		
 deductible_oop_inquiry	 what is my out of network out of pocket max 		
 deductible_oop_inquiry	 what is my out of network out of pocket maximum 		
 deductible_oop_inquiry	 what is my out of pocket max 		
 deductible_oop_inquiry	 what is my out of pocket maximum 		
 deductible_oop_inquiry	 what is my yearly max 		
 deductible_oop_inquiry	 what is my yearly out of pocket limit 		
 deductible_oop_inquiry	 what is the annual maximum 		
 deductible_oop_inquiry	 what is the difference in out of pocket maximums for in network and out of network 		
 deductible_oop_inquiry	 what is the highest amount i will have to pay per year 		
 deductible_oop_inquiry	 what is the max i will pay in a year 		
 deductible_oop_inquiry	 what is the maximum in network out of pocket cost 		
 deductible_oop_inquiry	 what is the maximum out of network out of pocket cost 		
 deductible_oop_inquiry	 what is the most i have to pay each year 		
 deductible_oop_inquiry	 what is the most i have to pay in a year 		
 deductible_oop_inquiry	 what is the most i will have to pay this year 		
 deductible_oop_inquiry	 what is the out of pocket max 		
 deductible_oop_inquiry	 what is the out of pocket maximum for a family 		
 deductible_oop_inquiry	 will my coinsurance count towards something 		
 deductible_oop_inquiry	 will my copay count towards my out of pocket max 		
 deductible_oop_inquiry	 will my prescription copays count toward out of pocket max 		
 deductible_oop_inquiry	 will the co pay count towards my my out of pocket maximum 		
 deductible_oop_inquiry	 will the coinsurance amounts count towards my oopm 		
 deductible_oop_inquiry	 if i have coinsurance do i still have a out of pocket maximum i need to meet 		
 deductible_oop_inquiry	 if ive already hit my out of pocket maximum does it matter if i go to an out of network provider 		
 deductible_oop_inquiry	 are my prescriptions subject to a deductible 		
 deductible_oop_inquiry	 do costs for perscriptions go toward my deductible 		
 deductible_oop_inquiry	 do i have a prescription deductible soemtimes pills are cheaper through insurance even tho we have not met deductible 		
 deductible_oop_inquiry	 do i have a rx deductible 		
 deductible_oop_inquiry	 do i have to meet the deductible when i buy a drug 		
 deductible_oop_inquiry	 do my prescription medications go towards the deductible 		
 deductible_oop_inquiry	 do pharmacy expenses have their own deductible 		
 deductible_oop_inquiry	 do scripts have a deductible 		
 deductible_oop_inquiry	 do you know how much my deductible is for an rx 		
 deductible_oop_inquiry	 does a pharmacy script apply towards the deductible 		
 deductible_oop_inquiry	 does the deductible apply to prescriptions 		
 deductible_oop_inquiry	 does the entire cost of the meds go toward the deductible until it is met 		
 deductible_oop_inquiry	 how much is prescription drugs deductible 		
 deductible_oop_inquiry	 i am wondering if pharamcy scripts count towards my deductible 		
 deductible_oop_inquiry	 i think my deductible is 5 800 so my prescription cost goes against this is that correct 		
 deductible_oop_inquiry	 is there a pharmacy deductible 		
 deductible_oop_inquiry	 is there a prescription medication deductible 		
 deductible_oop_inquiry	 once my prescription costs meet my deductible of 5 800 i would not have to pay anything towards my drugs 		
 deductible_oop_inquiry	 tell me more about pharmacy deductible 		
 deductible_oop_inquiry	 what does it mean that my plan does not have pharmacy deductible 		
 deductible_oop_inquiry	 what is the prescription deductible 		
 deductible_oop_inquiry	 do medication copays apply toward yearly out of pocket maximum 		
 deductible_oop_inquiry	 do rx copays count toward out of pocket limit 		
 deductible_oop_inquiry	 does my drug coverage have an out of pocket max too 		
 deductible_oop_inquiry	 does my prescription copay count towards the out of pocket maximum 		
 deductible_oop_inquiry	 prescription copay count toward annual out of pocket maximum 		
 deductible_oop_inquiry	 prescription copay counts toward annual limit 		
 deductible_oop_inquiry	 would my rx costs go towards the year out of pocket max 		
 dont_know_yet_maybe	 what goes against the deducatble 		
 exclaimation_positive	 can i get the cost that has to be paid before i do anything can you help with that thanks 		
 exclaimation_positive	 hi can you tell me how does a deductible work i need to find out thanks 		
 exclaimation_positive	 do you know if i will have to pay on a different dedcutible for my meds i need to find out thanks 		
 exclamation_negative	 i know there is an amount that i have to pay first can you tell me more about that 		
 feelings_good	 do i have to pay for claims before the plan starts to pay 		
 INTENT_NOT_FOUND	 substance abuse services life time maximum 		
 INTENT_NOT_FOUND	 after meeting deductable 		
 INTENT_NOT_FOUND	 do co insurance payments accumulate towards anything 		
 INTENT_NOT_FOUND	 what do co paymentss accumulate towards 		
 INTENT_NOT_FOUND	 hi i am trying to figure out which prescriptions count for the deductible 		
 INTENT_NOT_FOUND	 does optum set a year-over-year maximum on rx services? 		
 INTENT_NOT_FOUND	 does the lifetime max apply to pharmacy services? 		
 INTENT_NOT_FOUND	 do medication copays apply toward yeearly out of pocket max 		
 medical_emergency	 is there an amount of charges i have to pay before the plan starts to pay 		
 medical_emergency	 what is the amount i need to meet before coverage applies 		
