ignore_masked,example,example_masked,intent
,Can I get a breast pump under my insurance?,Can I get a breast pump under my insurance?,benefit_coverage
,Can I get a MASKING_PROCEDURE_NAME_1 under my insurance?,Can I get a MASKING_PROCEDURE_NAME_1 under my insurance?,benefit_coverage
,Are you able to tell me about the services for pregnant women?,Are you able to tell me about the services for pregnant women?,benefit_coverage
,Are voluntary reproductive health procedures covered?,Are voluntary reproductive health procedures covered?,benefit_coverage
,Are voluntary MASKING_PROVIDER_SPECIALTY_1 MASKING_PROCEDURE_NAME_2 covered?,Are voluntary MASKING_PROVIDER_SPECIALTY_1 MASKING_PROCEDURE_NAME_2 covered?,benefit_coverage
,Are there benefit limitations under my plan for physical therapy treatments?,Are there benefit limitations under my plan for physical therapy treatments?,benefit_coverage
,What is my deductible for MASKING_PROCEDURE_NAME_1?,What is my deductible for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,What is my co-pay for specialist visits?,What is my co-pay for specialist visits?,benefit_coverage
,What is my co-pay for specialist MASKING_PROCEDURE_NAME_1?,What is my co-pay for specialist MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much will the procedure cost me out of pocket?,How much will the procedure cost me out of pocket?,benefit_coverage
,How much will this cost?,How much will this cost?,benefit_coverage
,How much would I pay for MASKING_PROCEDURE_NAME_1?,How much would I pay for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much would I pay for in vitro procedures?,How much would I pay for in vitro procedures?,benefit_coverage
,How much would I pay out of pocket for a MASKING_PROCEDURE_NAME_1?,How much would I pay out of pocket for a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 is getting MASKING_PROCEDURE_NAME_1.  How much will insurance cover vs. my expense?  Are there any hidden fees?,My MASKING_DEPENDENT_RELATIONSHIP_1 is getting MASKING_PROCEDURE_NAME_1.  How much will insurance cover vs. my expense?  Are there any hidden fees?,benefit_coverage
,i need an MASKING_PROCEDURE_NAME_1 of my boobs,i need an MASKING_PROCEDURE_NAME_1 of my boobs,benefit_coverage
,i need an xray of my boobs,i need an xray of my boobs,benefit_coverage
,i need me some to get some MASKING_PROCEDURE_NAME_1,i need me some to get some MASKING_PROCEDURE_NAME_1,benefit_coverage
,i need me some to get some prenatal care,i need me some to get some prenatal care,benefit_coverage
,I think I need to have a knee replacement done this year. Can you tell me how that will affect my coverage?,I think I need to have a knee replacement done this year. Can you tell me how that will affect my coverage?,benefit_coverage
,"Is MASKING_PROCEDURE_NAME_1 covered under the plan, and do I have use a specific facility?","Is MASKING_PROCEDURE_NAME_1 covered under the plan, and do I have use a specific facility?",benefit_coverage
,do I have prenatal care coverage as a benefit? My wife will need this,do I have prenatal care coverage as a benefit? My wife will need this,benefit_coverage
,does my dependents cover routine health check,does my dependents cover routine health check,benefit_coverage
,how much will it cost for my MASKING_DEPENDENT_RELATIONSHIP_1 to do a MASKING_PROCEDURE_NAME_1?,how much will it cost for my MASKING_DEPENDENT_RELATIONSHIP_1 to do a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,how much will it cost for my wife to do a breast cancer exam?,how much will it cost for my wife to do a breast cancer exam?,benefit_coverage
,MASKING_PERSON_NAME_1 this MASKING_PROCEDURE_NAME_1 be covered MASKING_NUMBER_a% as MASKING_PROVIDER_SPECIALTY_1?,MASKING_PERSON_NAME_1 this MASKING_PROCEDURE_NAME_1 be covered MASKING_NUMBER_a% as MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,how should I treat a mild MASKING_MEDICAL_CONDITION_1?,how should I treat a mild MASKING_MEDICAL_CONDITION_1?,benefit_coverage
,"If I think I need knee surgery, what do I do next? Do I need my doctor to talk to my health plan?","If I think I need knee surgery, what do I do next? Do I need my doctor to talk to my health plan?",benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 is having MASKING_PROCEDURE_NAME_1 at MASKING_FACILITY_NAME_1. What is our coverage?,My MASKING_DEPENDENT_RELATIONSHIP_1 is having MASKING_PROCEDURE_NAME_1 at MASKING_FACILITY_NAME_1. What is our coverage?,benefit_coverage
,I would like to make an enquiry regarding a MASKING_PROCEDURE_NAME_1 please,I would like to make an enquiry regarding a MASKING_PROCEDURE_NAME_1 please,benefit_coverage
,I would like to make an enquiry regarding a hip replacement please,I would like to make an enquiry regarding a hip replacement please,benefit_coverage
,I'd like to know how much I need to pay for a doctor visit,I'd like to know how much I need to pay for a doctor visit,benefit_coverage
,I'm going to give MASKING_PROCEDURE_NAME_1,I'm going to give MASKING_PROCEDURE_NAME_1,benefit_coverage
,I'm going to give birth,I'm going to give birth,benefit_coverage
,I'm pregnant,I'm pregnant,benefit_coverage
,I'm pregnant right now and my MASKING_PROFESSIONAL_GROUP_1 suggested I MASKING_PROCEDURE_NAME_4 a MASKING_PROCEDURE_NAME_1. Is that covered by my MASKING_PROCEDURE_NAME_2? How much is that going to cost? And where should I get this done?,I'm pregnant right now and my MASKING_PROFESSIONAL_GROUP_1 suggested I MASKING_PROCEDURE_NAME_4 a MASKING_PROCEDURE_NAME_1. Is that covered by my MASKING_PROCEDURE_NAME_2? How much is that going to cost? And where should I get this done?,benefit_coverage
,How much would I pay out of pocket for a mammogram?,How much would I pay out of pocket for a mammogram?,benefit_coverage
,How often should I get a MASKING_PROCEDURE_NAME_1?,How often should I get a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How will my insurance cover a MASKING_PROCEDURE_NAME_1?,How will my insurance cover a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,will my insurance cover 100% of the cost of the proceedure,will my insurance cover 100% of the cost of the proceedure,benefit_coverage
,will my insurance cover MASKING_NUMBER_a% of the cost of the proceedure,will my insurance cover MASKING_NUMBER_a% of the cost of the proceedure,benefit_coverage
,"Hello, can you please tell me if I have cover for Influenza?","Hello, can you please tell me if I have cover for Influenza?",benefit_coverage
,How much does an H. pylori breath test cost?,How much does an H. pylori breath test cost?,benefit_coverage
,How much does an MASKING_PROCEDURE_NAME_1 cost out-of-pocket?,How much does an MASKING_PROCEDURE_NAME_1 cost out-of-pocket?,benefit_coverage
,How will my insurance cover a nuchal translucency scan?,How will my insurance cover a nuchal translucency scan?,benefit_coverage
,I am having MASKING_PROVIDER_SPECIALTY_1 at MASKING_FACILITY_NAME_1.? Can you tell me my coverage?,I am having MASKING_PROVIDER_SPECIALTY_1 at MASKING_FACILITY_NAME_1.? Can you tell me my coverage?,benefit_coverage
,I am having issues with MASKING_PROCEDURE_NAME_1,I am having issues with MASKING_PROCEDURE_NAME_1,benefit_coverage
,If I need to get a root canal is this covered by my insurance,If I need to get a root canal is this covered by my insurance,benefit_coverage
,I'm pregnant right now and my doctor suggested I schedule a nuchal translucency scan. Is that covered by my health insurance? How much is that going to cost? And where should I get this done?,I'm pregnant right now and my doctor suggested I schedule a nuchal translucency scan. Is that covered by my health insurance? How much is that going to cost? And where should I get this done?,benefit_coverage
,"Hello, can you please tell me if I have cover for MASKING_PROCEDURE_NAME_1?","Hello, can you please tell me if I have cover for MASKING_PROCEDURE_NAME_1?",benefit_coverage
,How much is the average liver functionality test? Does insurance cover that?,How much is the average liver functionality test? Does insurance cover that?,benefit_coverage
,Do I have to pay for a breast pump or will my insurance cover that cost?,Do I have to pay for a breast pump or will my insurance cover that cost?,benefit_coverage
,Does my insurance cover nuchal translucency scans? Also does it cover breast pumps? How much will I have to pay for both?,Does my insurance cover nuchal translucency scans? Also does it cover breast pumps? How much will I have to pay for both?,benefit_coverage
,Do I have to pay for a MASKING_PROCEDURE_NAME_1 or will my insurance cover that cost?,Do I have to pay for a MASKING_PROCEDURE_NAME_1 or will my insurance cover that cost?,benefit_coverage
,What is my out of pocket responsibility for an MASKING_PROCEDURE_NAME_1?,What is my out of pocket responsibility for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Do I have coverage for MASKING_PROCEDURE_NAME_1?,Do I have coverage for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Can you please tell me about benefits relating to orthopedic surgery?,Can you please tell me about benefits relating to orthopedic surgery?,benefit_coverage
,Can you please tell me about benefits relating to MASKING_PROVIDER_SPECIALTY_1?,Can you please tell me about benefits relating to MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,Can you me tell me about MASKING_PROVIDER_SPECIALTY_1 benefits please?,Can you me tell me about MASKING_PROVIDER_SPECIALTY_1 benefits please?,benefit_coverage
,Are dental xrays covered with my MASKING_PROCEDURE_NAME_1 insurance?,Are dental xrays covered with my MASKING_PROCEDURE_NAME_1 insurance?,benefit_coverage
,What are my benefits when it comes to MASKING_PROCEDURE_NAME_1?,What are my benefits when it comes to MASKING_PROCEDURE_NAME_1?,benefit_coverage
,severe sepsis and septic shock procedure cost,severe sepsis and septic shock procedure cost,benefit_coverage
,want to know if breast pumps are part of my benefits under my present insurance.,want to know if breast pumps are part of my benefits under my present insurance.,benefit_coverage
,What's the cost of doing a CAT scan with my insurance policy?,What's the cost of doing a CAT scan with my insurance policy?,benefit_coverage
,need a mammogram,need a mammogram,benefit_coverage
,Where can I get a new MASKING_PROCEDURE_NAME_1?,Where can I get a new MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Will my insurance cover a nuchal translucency scan completely or partially?,Will my insurance cover a nuchal translucency scan completely or partially?,benefit_coverage
,Will there be a deductible for this procedure?,Will there be a deductible for this procedure?,benefit_coverage
,What is my deductible for an in-MASKING_PROCEDURE_NAME_1?,What is my deductible for an in-MASKING_PROCEDURE_NAME_1?,benefit_coverage
,What is my deductible for an in-office visit?,What is my deductible for an in-office visit?,benefit_coverage
,What is my deductible for hearing aids?,What is my deductible for hearing aids?,benefit_coverage
,What is my deductible on infertilitly MASKING_PROCEDURE_NAME_1,What is my deductible on infertilitly MASKING_PROCEDURE_NAME_1,benefit_coverage
,What is my deductible on infertilitly treatments,What is my deductible on infertilitly treatments,benefit_coverage
,What prenatal care does my policy cover?,What prenatal care does my policy cover?,benefit_coverage
,What procedures are covered under a regular check-up?,What procedures are covered under a regular check-up?,benefit_coverage
,What types of MASKING_PROCEDURE_NAME_1 are covered by my plan?,What types of MASKING_PROCEDURE_NAME_1 are covered by my plan?,benefit_coverage
,What types of fertility treatments are covered by my plan?,What types of fertility treatments are covered by my plan?,benefit_coverage
,What will I pay for out of network MASKING_MEDICAL_CONDITION_1 charges for a MASKING_PROCEDURE_NAME_1?,What will I pay for out of network MASKING_MEDICAL_CONDITION_1 charges for a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,What will I pay for out of network lab charges for a Pap?,What will I pay for out of network lab charges for a Pap?,benefit_coverage
,What is my co-pay for an office visit?,What is my co-pay for an office visit?,benefit_coverage
,What is my co-pay for an MASKING_PROCEDURE_NAME_1?,What is my co-pay for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,What is my MASKING_PROCEDURE_NAME_1?,What is my MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How often should I get a colonoscopy?,How often should I get a colonoscopy?,benefit_coverage
,MASKING_PROCEDURE_NAME_1,MASKING_PROCEDURE_NAME_1,benefit_coverage
,MASKING_PERSON_NAME_1 there be a deductible for this procedure?,MASKING_PERSON_NAME_1 there be a deductible for this procedure?,benefit_coverage
,MASKING_PERSON_NAME_1 my insurance cover a MASKING_PROCEDURE_NAME_1 completely or partially?,MASKING_PERSON_NAME_1 my insurance cover a MASKING_PROCEDURE_NAME_1 completely or partially?,benefit_coverage
,MASKING_MEDICAL_CONDITION_1 and septic shock procedure cost,MASKING_MEDICAL_CONDITION_1 and septic shock procedure cost,benefit_coverage
,MASKING_MEDICAL_CONDITION_1,MASKING_MEDICAL_CONDITION_1,benefit_coverage
,Is this procedure covered?,Is this procedure covered?,benefit_coverage
,Is this procedure covered under my plan?,Is this procedure covered under my plan?,benefit_coverage
,Is the shingles vaccination covered under my plan?,Is the shingles vaccination covered under my plan?,benefit_coverage
,"Is the cost of lab tests included? If yes, what's the maximum amount that is covered?","Is the cost of lab tests included? If yes, what's the maximum amount that is covered?",benefit_coverage
,"Is the cost of MASKING_PROCEDURE_NAME_1 included? If yes, what's the maximum amount that is covered?","Is the cost of MASKING_PROCEDURE_NAME_1 included? If yes, what's the maximum amount that is covered?",benefit_coverage
,Is the chiropractor covered under my plan?,Is the chiropractor covered under my plan?,benefit_coverage
,need to know how much my MASKING_PROCEDURE_NAME_1 exam will cost under my plan.,need to know how much my MASKING_PROCEDURE_NAME_1 exam will cost under my plan.,benefit_coverage
,What's the cost of doing a MASKING_PROCEDURE_NAME_1 with my insurance policy?,What's the cost of doing a MASKING_PROCEDURE_NAME_1 with my insurance policy?,benefit_coverage
,need a MASKING_PROCEDURE_NAME_1,need a MASKING_PROCEDURE_NAME_1,benefit_coverage
,my doctor suggested me to go for Colonoscopy. does it under my coverage?,my doctor suggested me to go for Colonoscopy. does it under my coverage?,benefit_coverage
,my MASKING_PROFESSIONAL_GROUP_1 suggested me to go for MASKING_PROCEDURE_NAME_1. does it under my coverage?,my MASKING_PROFESSIONAL_GROUP_1 suggested me to go for MASKING_PROCEDURE_NAME_1. does it under my coverage?,benefit_coverage
,Are orthotics covered with my current insurance?,Are orthotics covered with my current insurance?,benefit_coverage
,Can I go to Duke Health Clinic for procedure ?,Can I go to Duke Health Clinic for procedure ?,benefit_coverage
,can i get a MASKING_PROCEDURE_NAME_1,can i get a MASKING_PROCEDURE_NAME_1,benefit_coverage
,Can I get my cholesterol levels checked?,Can I get my cholesterol levels checked?,benefit_coverage
,Am I eligible for my annual check up visit?,Am I eligible for my annual check up visit?,benefit_coverage
,Are MASKING_PROCEDURE_NAME_1 covered by my MASKING_PROCEDURE_NAME_1 ?,Are MASKING_PROCEDURE_NAME_1 covered by my MASKING_PROCEDURE_NAME_1 ?,benefit_coverage
,Are MASKING_PROCEDURE_NAME_1 covered?,Are MASKING_PROCEDURE_NAME_1 covered?,benefit_coverage
,Can I receive rountine medical care?,Can I receive rountine medical care?,benefit_coverage
,I am having orthopedic surgery at ETH Hospital.? Can you tell me my coverage?,I am having orthopedic surgery at ETH Hospital.? Can you tell me my coverage?,benefit_coverage
,"Hi MASKING_PERSON_NAME_1, I need to find out if my MASKING_PROCEDURE_NAME_1 is covered by my insurance","Hi MASKING_PERSON_NAME_1, I need to find out if my MASKING_PROCEDURE_NAME_1 is covered by my insurance",benefit_coverage
,"Hi, I'm having MASKING_PROVIDER_SPECIALTY_1. Can you help me figure out my coverage?","Hi, I'm having MASKING_PROVIDER_SPECIALTY_1. Can you help me figure out my coverage?",benefit_coverage
,"Hi, I'm having orthopedic surgery. Can you help me figure out my coverage?","Hi, I'm having orthopedic surgery. Can you help me figure out my coverage?",benefit_coverage
,How am I covered for MASKING_PROCEDURE_NAME_1,How am I covered for MASKING_PROCEDURE_NAME_1,benefit_coverage
,How am I covered for couples therapy,How am I covered for couples therapy,benefit_coverage
,How do I find out whether my plan MASKING_PROCEDURE_NAME_2 MASKING_PROCEDURE_NAME_1?,How do I find out whether my plan MASKING_PROCEDURE_NAME_2 MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much will I have to pay out of pocket for an MASKING_PROCEDURE_NAME_1?,How much will I have to pay out of pocket for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How much of my MASKING_PROCEDURE_NAME_1 will you cover?,How much of my MASKING_PROCEDURE_NAME_1 will you cover?,benefit_coverage
,How much will my out of pocket expenses be for my MASKING_MEDICAL_CONDITION_1 work requested by my MASKING_PROFESSIONAL_GROUP_1?,How much will my out of pocket expenses be for my MASKING_MEDICAL_CONDITION_1 work requested by my MASKING_PROFESSIONAL_GROUP_1?,benefit_coverage
,My wife is having Routine mammogram at RPA Lagrange Hospital. What is our coverage?,My wife is having Routine mammogram at RPA Lagrange Hospital. What is our coverage?,benefit_coverage
,My wife is 7 months pregnant. Does she qualify to get a Translucency scan?,My wife is 7 months pregnant. Does she qualify to get a Translucency scan?,benefit_coverage
,My kid is 9.  Are his well visits still covered by my insurance?,My kid is 9.  Are his well visits still covered by my insurance?,benefit_coverage
,My husband needs a flu shot,My husband needs a flu shot,benefit_coverage
,My husband is considering Orthopedic surgery,My husband is considering Orthopedic surgery,benefit_coverage
,My doctor mentions that I may need both hips replaced,My doctor mentions that I may need both hips replaced,benefit_coverage
,My doctor informs me that I need to get a Routine mammogram and I wanted to check if my plan covers me for this?,My doctor informs me that I need to get a Routine mammogram and I wanted to check if my plan covers me for this?,benefit_coverage
,My daughter is getting tubes in her ears.  How much will insurance cover vs. my expense?  Are there any hidden fees?,My daughter is getting tubes in her ears.  How much will insurance cover vs. my expense?  Are there any hidden fees?,benefit_coverage
,My daughter has been referred for a Speech/Language evaluation.  Is it a covered benefit?,My daughter has been referred for a Speech/Language evaluation.  Is it a covered benefit?,benefit_coverage
,My MASKING_PROFESSIONAL_GROUP_1 mentions that I may need both MASKING_PROCEDURE_NAME_1,My MASKING_PROFESSIONAL_GROUP_1 mentions that I may need both MASKING_PROCEDURE_NAME_1,benefit_coverage
,My MASKING_PROFESSIONAL_GROUP_1 MASKING_PROCEDURE_NAME_3 me that I need to get a MASKING_PROCEDURE_NAME_1 and I wanted to check if my plan MASKING_PROCEDURE_NAME_3 me for this?,My MASKING_PROFESSIONAL_GROUP_1 MASKING_PROCEDURE_NAME_3 me that I need to get a MASKING_PROCEDURE_NAME_1 and I wanted to check if my plan MASKING_PROCEDURE_NAME_3 me for this?,benefit_coverage
,My MASKING_DEPENDENT_RELATIONSHIP_1 needs a MASKING_PROCEDURE_NAME_1,My MASKING_DEPENDENT_RELATIONSHIP_1 needs a MASKING_PROCEDURE_NAME_1,benefit_coverage
,need to know how much my annual physical exam will cost under my plan.,need to know how much my annual physical exam will cost under my plan.,benefit_coverage
,How much will a regular checkup be if my doctor is out of network?,How much will a regular checkup be if my doctor is out of network?,benefit_coverage
,question about how to get MASKING_PROCEDURE_NAME_1 done,question about how to get MASKING_PROCEDURE_NAME_1 done,benefit_coverage
,question about how to get mri done,question about how to get mri done,benefit_coverage
,question of MASKING_PROCEDURE_NAME_1,question of MASKING_PROCEDURE_NAME_1,benefit_coverage
,question of yearly checkup,question of yearly checkup,benefit_coverage
,quick question about MASKING_PROCEDURE_NAME_1,quick question about MASKING_PROCEDURE_NAME_1,benefit_coverage
,quick question about mammogram,quick question about mammogram,benefit_coverage
,Does my insurance cover knee replacement?,Does my insurance cover knee replacement?,benefit_coverage
,Does my insurance cover nuchal translucency MASKING_PROCEDURE_NAME_1? Also does it cover MASKING_PROCEDURE_NAME_1? How much will I have to pay for both?,Does my insurance cover nuchal translucency MASKING_PROCEDURE_NAME_1? Also does it cover MASKING_PROCEDURE_NAME_1? How much will I have to pay for both?,benefit_coverage
,Does my insurance cover talking to a MASKING_PROFESSIONAL_GROUP_1?,Does my insurance cover talking to a MASKING_PROFESSIONAL_GROUP_1?,benefit_coverage
,Does my insurance cover talking to a therapist?,Does my insurance cover talking to a therapist?,benefit_coverage
,Does my insurance cover this procedure?,Does my insurance cover this procedure?,benefit_coverage
,Does my insurance plan pay for a new MASKING_PROCEDURE_NAME_1?,Does my insurance plan pay for a new MASKING_PROCEDURE_NAME_1?,benefit_coverage
,Does my insurance plan pay for a new insulin pump?,Does my insurance plan pay for a new insulin pump?,benefit_coverage
,"Hello, can you please assist and tell me if I have cover on my policy for Chiropractic care?","Hello, can you please assist and tell me if I have cover on my policy for Chiropractic care?",benefit_coverage
,i have to MASKING_PROCEDURE_NAME_3 my MASKING_PROCEDURE_NAME_1 and want to know what my out of pocket cost will be,i have to MASKING_PROCEDURE_NAME_3 my MASKING_PROCEDURE_NAME_1 and want to know what my out of pocket cost will be,benefit_coverage
,i have to schedule my colonoscopy and want to know what my out of pocket cost will be,i have to schedule my colonoscopy and want to know what my out of pocket cost will be,benefit_coverage
,"Hi Watson, I need to find out if my check-up is covered by my insurance","Hi Watson, I need to find out if my check-up is covered by my insurance",benefit_coverage
,I want to MASKING_PROCEDURE_NAME_1 my MASKING_PROFESSIONAL_GROUP_1 to see if I am healthy,I want to MASKING_PROCEDURE_NAME_1 my MASKING_PROFESSIONAL_GROUP_1 to see if I am healthy,benefit_coverage
,I want to find out what level of benefits I have for MASKING_PROCEDURE_NAME_1 and MASKING_PROVIDER_SPECIALTY_1,I want to find out what level of benefits I have for MASKING_PROCEDURE_NAME_1 and MASKING_PROVIDER_SPECIALTY_1,benefit_coverage
,can you explain what benefits are available for acupunture please?,can you explain what benefits are available for acupunture please?,benefit_coverage
,want to know if MASKING_PROCEDURE_NAME_1 are part of my benefits under my present insurance.,want to know if MASKING_PROCEDURE_NAME_1 are part of my benefits under my present insurance.,benefit_coverage
,"I have already had MASKING_NUMBER_a xrays this year,  how many more am I eligible for?","I have already had MASKING_NUMBER_a xrays this year,  how many more am I eligible for?",benefit_coverage
,"I have already had MASKING_NUMBER_a xrays this year, how many more am I eligible for?","I have already had MASKING_NUMBER_a xrays this year, how many more am I eligible for?",benefit_coverage
,"I need MASKING_PROCEDURE_NAME_1 for my left knee, how much will that cost me? Is it covered?","I need MASKING_PROCEDURE_NAME_1 for my left knee, how much will that cost me? Is it covered?",benefit_coverage
,I need MASKING_PROCEDURE_NAME_1.  Is that covered?,I need MASKING_PROCEDURE_NAME_1.  Is that covered?,benefit_coverage
,I need MASKING_PROVIDER_SPECIALTY_1 to MASKING_PROCEDURE_NAME_1. Is that covered.,I need MASKING_PROVIDER_SPECIALTY_1 to MASKING_PROCEDURE_NAME_1. Is that covered.,benefit_coverage
,"I need knee surgery for my left knee, how much will that cost me? Is it covered?","I need knee surgery for my left knee, how much will that cost me? Is it covered?",benefit_coverage
,I need knee surgery.  Is that covered?,I need knee surgery.  Is that covered?,benefit_coverage
,I need surgery to replace a knee. Is that covered.,I need surgery to replace a knee. Is that covered.,benefit_coverage
,I think I need to have a MASKING_PROCEDURE_NAME_1 done this year. Can you tell me how that will affect my coverage?,I think I need to have a MASKING_PROCEDURE_NAME_1 done this year. Can you tell me how that will affect my coverage?,benefit_coverage
,"Are blood work tests for thyroid abnormalities covered? If not, how much does each test cost?","Are blood work tests for thyroid abnormalities covered? If not, how much does each test cost?",benefit_coverage
,Are crutches covered by my health insurance ?,Are crutches covered by my health insurance ?,benefit_coverage
,How much is my copay,How much is my copay,benefit_coverage
,How much is the average MASKING_PROCEDURE_NAME_1? Does insurance cover that?,How much is the average MASKING_PROCEDURE_NAME_1? Does insurance cover that?,benefit_coverage
,How do I find out whether my plan covers knee replacement?,How do I find out whether my plan covers knee replacement?,benefit_coverage
,How many MASKING_PROCEDURE_NAME_1 sessions are covered?,How many MASKING_PROCEDURE_NAME_1 sessions are covered?,benefit_coverage
,How many MASKING_PROCEDURE_NAME_1 sessions are covered? What is my copay for MASKING_PROCEDURE_NAME_1?,How many MASKING_PROCEDURE_NAME_1 sessions are covered? What is my copay for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,How many PT sessions are covered?,How many PT sessions are covered?,benefit_coverage
,Is MASKING_PROVIDER_SPECIALTY_1 a covered benefit?,Is MASKING_PROVIDER_SPECIALTY_1 a covered benefit?,benefit_coverage
,Is a MASKING_PROCEDURE_NAME_1 covered,Is a MASKING_PROCEDURE_NAME_1 covered,benefit_coverage
,Is a MASKING_PROCEDURE_NAME_1 from a MASKING_PROVIDER_SPECIALTY_1 covered under my plan?,Is a MASKING_PROCEDURE_NAME_1 from a MASKING_PROVIDER_SPECIALTY_1 covered under my plan?,benefit_coverage
