ignore_masked,example,example_masked,intent
,,Does my insurance plan pay for a new MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Does my insurance plan pay for a new insulin pump?,benefit_coverage
,,"Hello, can you please assist and tell me if I have cover on my policy for Chiropractic care?",benefit_coverage
,,i have to MASKING_PROCEDURE_NAME_3 my MASKING_PROCEDURE_NAME_1 and want to know what my out of pocket cost will be,benefit_coverage
,,i have to schedule my colonoscopy and want to know what my out of pocket cost will be,benefit_coverage
,,how much will it cost for my MASKING_DEPENDENT_RELATIONSHIP_1 to do a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,how much will it cost for my wife to do a breast cancer exam?,benefit_coverage
,,MASKING_PERSON_NAME_1 this MASKING_PROCEDURE_NAME_1 be covered MASKING_NUMBER_a% as MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,how should I treat a mild MASKING_MEDICAL_CONDITION_1?,benefit_coverage
,,Does my massage have to be with an RMT for it to be covered?,benefit_coverage
,,Can I have a colonoscopy at RPA Lagrange Hospital?,benefit_coverage
,,Can I have a MASKING_PROCEDURE_NAME_1 at MASKING_FACILITY_NAME_1?,benefit_coverage
,,What is my out of pocket costs for facility and MASKING_PROFESSIONAL_GROUP_1 for a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What is my maternity coverage?,benefit_coverage
,,"Hello, can you please MASKING_PROCEDURE_NAME_3 and tell me if I have cover on my policy for MASKING_PROVIDER_SPECIALTY_1 care?",benefit_coverage
,,Does my plan cover acupuncture?,benefit_coverage
,,How am I covered for couples therapy,benefit_coverage
,,How am I covered for MASKING_PROCEDURE_NAME_1,benefit_coverage
,,"Hi, I'm having orthopedic surgery. Can you help me figure out my coverage?",benefit_coverage
,,"Hi, I'm having MASKING_PROVIDER_SPECIALTY_1. Can you help me figure out my coverage?",benefit_coverage
,,"Hi Watson, I need to find out if my check-up is covered by my insurance",benefit_coverage
,,Are dental xrays covered with my MASKING_PROCEDURE_NAME_1 insurance?,benefit_coverage
,,severe sepsis and septic shock procedure cost,benefit_coverage
,,want to know if breast pumps are part of my benefits under my present insurance.,benefit_coverage
,,What's the cost of doing a CAT scan with my insurance policy?,benefit_coverage
,,need a mammogram,benefit_coverage
,,Where can I get a new MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Will my insurance cover a nuchal translucency scan completely or partially?,benefit_coverage
,,How much will an eye MASKING_PROCEDURE_NAME_1 cost,benefit_coverage
,,I want to have information about the MASKING_PROCEDURE_NAME_1 and whether my insurance will cover this procedure,benefit_coverage
,,I want to find out what level of benefits I have for child birth and acupuncture,benefit_coverage
,,What will my out of pocket cost be for this visit?,benefit_coverage
,,What will my out of pocket cost be for this MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,is my procedure covered by my MASKING_PROCEDURE_NAME_1,benefit_coverage
,,"i need to get a flu shot, is that covered ?",benefit_coverage
,,"i need to get a MASKING_PROCEDURE_NAME_1, is that covered ?",benefit_coverage
,,I would like to know what the cost will be to get a MASKING_NUMBER_aD MASKING_PROCEDURE_NAME_3 instead of the standard MASKING_PROCEDURE_NAME_2?,benefit_coverage
,,I would like to know what the cost will be to get a 3D Mammogram instead of the standard mammogram?,benefit_coverage
,,I would like to know if breast pumps are part of my benefit,benefit_coverage
,,I would like to know if MASKING_PROCEDURE_NAME_1 are part of my benefit,benefit_coverage
,,"If I have to have a new insulin pump, will that be covered",benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 is getting MASKING_PROCEDURE_NAME_1.  How much will insurance cover vs. my expense?  Are there any hidden fees?,benefit_coverage
,,i need me some to get some MASKING_PROCEDURE_NAME_1,benefit_coverage
,,What is my co-pay for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What is my co-pay for an office visit?,benefit_coverage
,,What will I pay for out of network lab charges for a Pap?,benefit_coverage
,,What will I pay for out of network MASKING_MEDICAL_CONDITION_1 charges for a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What types of fertility treatments are covered by my plan?,benefit_coverage
,,Does my plan cover MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,MASKING_MEDICAL_CONDITION_1,benefit_coverage
,,"Hi MASKING_PERSON_NAME_1, I need to find out if my MASKING_PROCEDURE_NAME_1 is covered by my insurance",benefit_coverage
,,I am having orthopedic surgery at ETH Hospital.? Can you tell me my coverage?,benefit_coverage
,,Can I receive rountine medical care?,benefit_coverage
,,Are MASKING_PROCEDURE_NAME_1 covered?,benefit_coverage
,,What is my deductible for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Are MASKING_PROVIDER_SPECIALTY_1 covered with my current insurance?,benefit_coverage
,,Are MASKING_PROCEDURE_NAME_1 included in my insurance?,benefit_coverage
,,How much does an H. pylori MASKING_PROCEDURE_NAME_1 cost?,benefit_coverage
,,What would be my co-pay in a nuchal translucency scan>,benefit_coverage
,,What would be my co-pay in a MASKING_PROCEDURE_NAME_1>,benefit_coverage
,,What is my deductible on infertilitly treatments,benefit_coverage
,,What is my deductible on infertilitly MASKING_PROCEDURE_NAME_1,benefit_coverage
,,What is my deductible for hearing aids?,benefit_coverage
,,What is my deductible for an in-office visit?,benefit_coverage
,,How much would I pay for in vitro procedures?,benefit_coverage
,,What's the cost of doing a MASKING_PROCEDURE_NAME_1 with my insurance policy?,benefit_coverage
,,Are MASKING_PROCEDURE_NAME_1 covered by my MASKING_PROCEDURE_NAME_1 ?,benefit_coverage
,,Am I eligible for my annual check up visit?,benefit_coverage
,,can i get a MASKING_PROCEDURE_NAME_1,benefit_coverage
,,Can I go to Duke Health Clinic for procedure ?,benefit_coverage
,,Are orthotics covered with my current insurance?,benefit_coverage
,,Can you me tell me about MASKING_PROVIDER_SPECIALTY_1 benefits please?,benefit_coverage
,,my doctor suggested me to go for Colonoscopy. does it under my coverage?,benefit_coverage
,,need a MASKING_PROCEDURE_NAME_1,benefit_coverage
,,How much would I pay out of pocket for a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,need to know how much my MASKING_PROCEDURE_NAME_1 exam will cost under my plan.,benefit_coverage
,,Is the chiropractor covered under my plan?,benefit_coverage
,,"Is the cost of MASKING_PROCEDURE_NAME_1 included? If yes, what's the maximum amount that is covered?",benefit_coverage
,,"Is the cost of lab tests included? If yes, what's the maximum amount that is covered?",benefit_coverage
,,Is this procedure covered under my plan?,benefit_coverage
,,Is this procedure covered?,benefit_coverage
,,Does my MASKING_PROCEDURE_NAME_1 cover MASKING_MEDICAL_CONDITION_1 fillings at the MASKING_PROFESSIONAL_GROUP_1?,benefit_coverage
,,What are my benefits when it comes to Flu Vaccines?,benefit_coverage
,,"If I have to have a new MASKING_PROCEDURE_NAME_1, will that be covered",benefit_coverage
,,"If I have an outpatient procedure, how much or what percentage would I have to out of pocket?",benefit_coverage
,,"If I have an MASKING_PROCEDURE_NAME_1, how much or what percentage would I have to out of pocket?",benefit_coverage
,,What percentage of my bill will my insurance pay for this procedure / lab work / visit?,benefit_coverage
,,What percentage of my bill will my insurance pay for this procedure / MASKING_MEDICAL_CONDITION_1 work / MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What kind of MASKING_PROFESSIONAL_GROUP_1 do I need to see to have my MASKING_MEDICAL_CONDITION_1 MASKING_PROCEDURE_NAME_1 covered by Insurance?,benefit_coverage
,,What is the estimated copay for my visit?,benefit_coverage
,,What is the estimated copay for my MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What is the copay for this session?,benefit_coverage
,,What is the average cost of procedure XYZ?,benefit_coverage
,,What is my out of pocket responsibility for an annual doctor visit?,benefit_coverage
,,Do I have coverage for shoulder surgery?,benefit_coverage
,,Is knee surgery covered for me? How much is it going to cost?,benefit_coverage
,,What is my out of pocket expense for this procedure?,benefit_coverage
,,What is my out of pocket costs for facility and physician for a total knee replacement?,benefit_coverage
,,"I need MASKING_PROCEDURE_NAME_1 for my left knee, how much will that cost me? Is it covered?",benefit_coverage
,,I need MASKING_PROCEDURE_NAME_1.  Is that covered?,benefit_coverage
,,I need MASKING_PROVIDER_SPECIALTY_1 to MASKING_PROCEDURE_NAME_1. Is that covered.,benefit_coverage
,,"I need knee surgery for my left knee, how much will that cost me? Is it covered?",benefit_coverage
,,How many PT sessions are covered?,benefit_coverage
,,My MASKING_PROFESSIONAL_GROUP_1 MASKING_PROCEDURE_NAME_3 me that I need to get a MASKING_PROCEDURE_NAME_1 and I wanted to check if my plan MASKING_PROCEDURE_NAME_3 me for this?,benefit_coverage
,,My MASKING_DEPENDENT_RELATIONSHIP_1 needs a MASKING_PROCEDURE_NAME_1,benefit_coverage
,,need to know how much my annual physical exam will cost under my plan.,benefit_coverage
,,How much will a regular checkup be if my doctor is out of network?,benefit_coverage
,,Is a MASKING_PROCEDURE_NAME_1 from a MASKING_PROVIDER_SPECIALTY_1 covered under my plan?,benefit_coverage
,,Is a checkup covered,benefit_coverage
,,my MASKING_PROFESSIONAL_GROUP_1 suggested me to go for MASKING_PROCEDURE_NAME_1. does it under my coverage?,benefit_coverage
,,Does my insurance cover MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Is a spinal adjustment from a Chiropractor covered under my plan?,benefit_coverage
,,Is acupuncture a covered benefit?,benefit_coverage
,,Is an EKG covered in my annual physical if my doctor feels it is appropriate based on our discussion during the physical?,benefit_coverage
,,Is an MASKING_PROCEDURE_NAME_6 covered in my MASKING_PROCEDURE_NAME_1 if my MASKING_PROFESSIONAL_GROUP_1 feels it is appropriate based on our MASKING_PROCEDURE_NAME_2 during the MASKING_PROCEDURE_NAME_3?,benefit_coverage
,,"Is bariatric surgery covered under the plan, and do I have use a specific facility?",benefit_coverage
,,Is colonoscopy covered under PP with HSA at no cost?,benefit_coverage
,,"If I want to get genetic testing done because I have a family history of particular diseases, is it covered?",benefit_coverage
,,Im looking to see if I can have the MASKING_PROCEDURE_NAME_1 under my eyes removed,benefit_coverage
,,Im looking to see if I can have the bags under my eyes removed,benefit_coverage
,,Is LASIK covered by my plan?,benefit_coverage
,,Is MASKING_PROCEDURE_NAME_1 covered by my plan?,benefit_coverage
,,Is MASKING_PROCEDURE_NAME_1 covered for me? How much is it going to cost?,benefit_coverage
,,Is MASKING_PROCEDURE_NAME_1 covered under PP with HSA at no cost?,benefit_coverage
,,I am having issues with male infertility,benefit_coverage
,,Also I need a new MASKING_PROCEDURE_NAME_1. How much is that? Does my insurance cover it?,benefit_coverage
,,Also I need a new insulin pump. How much is that? Does my insurance cover it?,benefit_coverage
,,Am I MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Am I covered for a strep throat test?,benefit_coverage
,,How much does an endoscopy cost out-of-pocket?,benefit_coverage
,,Can you me tell me about Acupuncture benefits please?,benefit_coverage
,,Can I have weightloss surgery?,benefit_coverage
,,Can I have weightloss MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,How often should I get a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How will my insurance cover a MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,What will my portion of the cost for this procedure be?,benefit_coverage
,,"I have already had 2 xrays this year, how many more am I eligible for?",benefit_coverage
,,"I have already had 2 xrays this year,  how many more am I eligible for?",benefit_coverage
,,I would like to get a second opinion on the reading of my abdominal ultrasound. Is this covered and what is the process?,benefit_coverage
,,I would like to get a second opinion on the reading of my MASKING_PROCEDURE_NAME_1. Is this covered and what is the process?,benefit_coverage
,,I want to visit my doctor to see if I am healthy,benefit_coverage
,,I want to have information about the nuchal translucency scan and whether my insurance will cover this procedure,benefit_coverage
,,what will my coverage pay for the MASKING_PROVIDER_SPECIALTY_1 my MASKING_PROFESSIONAL_GROUP_1 recommended?,benefit_coverage
,,How much can I claim back for a gp visit?,benefit_coverage
,,How much can I claim back for a gp MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How much am I covered for massages?,benefit_coverage
,,How much am I covered for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,How many PT sessions are covered? What is my copay for PT?,benefit_coverage
,,do I have MASKING_PROCEDURE_NAME_1 coverage as a benefit? My MASKING_DEPENDENT_RELATIONSHIP_1 will need this,benefit_coverage
,,can i have a colonoscopy,benefit_coverage
,,can i have a MASKING_PROCEDURE_NAME_1,benefit_coverage
,,can i get a new hip?,benefit_coverage
,,I've just dicovered that I'm pregnant and want to see what maternity care is available to me on my current plan.,benefit_coverage
,,I've just dicovered that I'm pregnant and want to see what MASKING_PROVIDER_SPECIALTY_1 is available to me on my current plan.,benefit_coverage
,,Are the MASKING_PROCEDURE_NAME_1 for MASKING_MEDICAL_CONDITION_1 covered? How much do I have to pay to get a new one? The one I have is old so I should probably replace it,benefit_coverage
,,Does my insurance cover an MRI?,benefit_coverage
,,Does my insurance cover an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Can I get my cholesterol levels checked?,benefit_coverage
,,i need me some to get some prenatal care,benefit_coverage
,,I think I need to have a knee replacement done this year. Can you tell me how that will affect my coverage?,benefit_coverage
,,"Is MASKING_PROCEDURE_NAME_1 covered under the plan, and do I have use a specific facility?",benefit_coverage
,,do I have prenatal care coverage as a benefit? My wife will need this,benefit_coverage
,,does my dependents cover routine health check,benefit_coverage
,,I'm pregnant right now and my doctor suggested I schedule a nuchal translucency scan. Is that covered by my health insurance? How much is that going to cost? And where should I get this done?,benefit_coverage
,,How much is the average liver functionality test? Does insurance cover that?,benefit_coverage
,,Do I have to pay for a breast pump or will my insurance cover that cost?,benefit_coverage
,,Does my insurance cover nuchal translucency scans? Also does it cover breast pumps? How much will I have to pay for both?,benefit_coverage
,,Do I have to pay for a MASKING_PROCEDURE_NAME_1 or will my insurance cover that cost?,benefit_coverage
,,What is my out of pocket responsibility for an MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Do I have coverage for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Can you please tell me about benefits relating to orthopedic surgery?,benefit_coverage
,,Can you please tell me about benefits relating to MASKING_PROVIDER_SPECIALTY_1?,benefit_coverage
,,What will be my out of pocket cost for the visit?,benefit_coverage
,,Are the pumps for diabetes covered? How much do I have to pay to get a new one? The one I have is old so I should probably replace it,benefit_coverage
,,Are there benefit limitations under my plan for MASKING_PROCEDURE_NAME_1?,benefit_coverage
,,Will this lab test be covered 100% as preventive care?,benefit_coverage
,,Have I reached my annual deductible yet?,deductible_oop_inquiry
,,What are my deductibles?,deductible_oop_inquiry
,,Have I met my deductible?,deductible_oop_inquiry
,,"I have a high deductible MASKING_PROCEDURE_NAME_1 policy with HSA, how much is the MASKING_DEPENDENT_RELATIONSHIP_1 deductible for this year?",deductible_oop_inquiry
,,How much did I pay out-of-pocket in MASKING_NUMBER_a?,deductible_oop_inquiry
,,how much is remaining in my deductible?,deductible_oop_inquiry
,,Is there an individual deductible maximum within our family deductible amount?,deductible_oop_inquiry
,,"I have a high deductible health insurance policy with HSA, how much is the family deductible for this year?",deductible_oop_inquiry
,,What's the out of pocket maximum on my personal insurance plan?,deductible_oop_inquiry
,,How much is my deductible?,deductible_oop_inquiry
,,Where am I on hitting my deductible?,deductible_oop_inquiry
,,What is my MASKING_DEPENDENT_RELATIONSHIP_1 deductible?,deductible_oop_inquiry
,,How much of my annual deductible have I met?,deductible_oop_inquiry
,,What is my family deductible?,deductible_oop_inquiry
,,How close am I to hitting my deductible? ,deductible_oop_inquiry
,,"Currently, how much of my deductible and my family deductible threshold amounts are satisfied for this year?",deductible_oop_inquiry
,,How much do I have left until I hit my deductible? ,deductible_oop_inquiry
